timestamp,date,time,open,high,low,close,volume
2022-08-11 01:00:00,2022-08-11,01:00,42830,43300,42625,43205,395938500
2022-08-11 02:00:00,2022-08-11,02:00,43205,43255,42345,42845,337327400
2022-08-11 03:00:00,2022-08-11,03:00,42845,44050,42775,43810,546710500
2022-08-11 04:00:00,2022-08-11,04:00,43810,44300,43810,44210,288783600
2022-08-11 05:00:00,2022-08-11,05:00,44210,44540,43950,44365,269212400
2022-08-11 06:00:00,2022-08-11,06:00,44365,44950,44365,44790,256790300
2022-08-11 07:00:00,2022-08-11,07:00,44790,45055,44200,44510,352445900
2022-08-11 08:00:00,2022-08-11,08:00,44510,44585,44050,44325,193869000
2022-08-11 09:00:00,2022-08-11,09:00,44325,44405,43775,43895,178742100
2022-08-11 10:00:00,2022-08-11,10:00,43895,44195,43850,43880,123958200
2022-08-11 11:00:00,2022-08-11,11:00,43880,44295,43645,44050,200003400
2022-08-11 12:00:00,2022-08-11,12:00,44050,44870,44025,44745,429037400
2022-08-11 13:00:00,2022-08-11,13:00,44745,44745,44085,44705,278412100
2022-08-11 14:00:00,2022-08-11,14:00,44705,45300,43725,44000,636126800
2022-08-11 15:00:00,2022-08-11,15:00,44000,44190,43320,43450,323583200
2022-08-11 16:00:00,2022-08-11,16:00,43450,43915,43385,43715,153973000
2022-08-11 17:00:00,2022-08-11,17:00,43715,43980,43550,43635,114406600
2022-08-11 18:00:00,2022-08-11,18:00,43635,43735,43005,43265,359375100
2022-08-11 19:00:00,2022-08-11,19:00,43265,43415,42825,43350,153677000
2022-08-11 20:00:00,2022-08-11,20:00,43350,43420,42910,43235,109124300
2022-08-11 21:00:00,2022-08-11,21:00,43235,43515,42930,43215,100194000
2022-08-11 22:00:00,2022-08-11,22:00,43215,43260,42610,42615,128260700
2022-08-11 23:00:00,2022-08-11,23:00,42615,43070,42350,42765,349134500
2022-08-12 00:00:00,2022-08-12,00:00,42765,43025,42185,43015,202786400
2022-08-12 01:00:00,2022-08-12,01:00,43015,43240,42695,42905,103968500
2022-08-12 02:00:00,2022-08-12,02:00,42905,43660,42590,43390,206869300
2022-08-12 03:00:00,2022-08-12,03:00,43390,43545,43230,43435,65938700
2022-08-12 04:00:00,2022-08-12,04:00,43435,43655,43195,43255,68195500
2022-08-12 05:00:00,2022-08-12,05:00,43255,43535,43210,43270,59820100
2022-08-12 06:00:00,2022-08-12,06:00,43270,43370,42790,43035,130939400
2022-08-12 07:00:00,2022-08-12,07:00,43035,43180,42900,43130,67145800
2022-08-12 08:00:00,2022-08-12,08:00,43130,43550,43020,43165,159637200
2022-08-12 09:00:00,2022-08-12,09:00,43165,43785,43145,43305,189659900
2022-08-12 10:00:00,2022-08-12,10:00,43305,43465,42465,42500,229232700
2022-08-12 11:00:00,2022-08-12,11:00,42500,42710,42105,42290,196389800
2022-08-12 12:00:00,2022-08-12,12:00,42290,42740,42285,42725,108681500
2022-08-12 13:00:00,2022-08-12,13:00,42725,43065,42425,42765,170251200
2022-08-12 14:00:00,2022-08-12,14:00,42765,43045,42435,42680,207247600
2022-08-12 15:00:00,2022-08-12,15:00,42680,43325,42595,43190,194759400
2022-08-12 16:00:00,2022-08-12,16:00,43190,43460,42925,43005,191048100
2022-08-12 17:00:00,2022-08-12,17:00,43005,43180,42955,43085,85160900
2022-08-12 18:00:00,2022-08-12,18:00,43085,43770,42925,43670,226203000
2022-08-12 19:00:00,2022-08-12,19:00,43670,44835,43650,44655,522569700
2022-08-12 20:00:00,2022-08-12,20:00,44655,45060,44400,44800,471219500
2022-08-12 21:00:00,2022-08-12,21:00,44800,44840,44285,44365,275315900
2022-08-12 22:00:00,2022-08-12,22:00,44365,44840,44245,44770,149719800
2022-08-12 23:00:00,2022-08-12,23:00,44770,45480,44605,45455,238635900
2022-08-13 00:00:00,2022-08-13,00:00,45455,47280,45255,47040,763533400
2022-08-13 01:00:00,2022-08-13,01:00,47040,47695,46825,47165,741306700
2022-08-13 02:00:00,2022-08-13,02:00,47165,47845,47055,47635,435048600
2022-08-13 03:00:00,2022-08-13,03:00,47635,47700,46900,47395,374932900
2022-08-13 04:00:00,2022-08-13,04:00,47395,47645,46885,47275,242162500
2022-08-13 05:00:00,2022-08-13,05:00,47275,48000,47255,47930,353526400
2022-08-13 06:00:00,2022-08-13,06:00,47930,48340,47345,47565,457063900
2022-08-13 07:00:00,2022-08-13,07:00,47565,47835,47055,47135,192325100
2022-08-13 08:00:00,2022-08-13,08:00,47135,47460,46865,47140,205006900
