
2022-05-10  01.38.21    SMA2    bin = 5    fee = 0.0003 - 0.003    2022-05-04 ~  (5) days

1602 loaded. (5 days)
    "smaLength1": 102.0,
    "smaLength2": 45.0,
    "stopX": 0.0399999954,
    "tryCount": 13.0,
    "succeedCount": 3.0,
    "failedCount": 10.0,
    "finalPercent": 1.00870836
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 108.0,
    "smaLength2": 36.0,
    "stopX": 0.0299999975,
    "tryCount": 15.0,
    "succeedCount": 7.0,
    "failedCount": 8.0,
    "finalPercent": 1.0090574
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 108.0,
    "smaLength2": 36.0,
    "stopX": 0.0399999954,
    "tryCount": 15.0,
    "succeedCount": 7.0,
    "failedCount": 8.0,
    "finalPercent": 1.00929987
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 66.0,
    "smaLength2": 30.0,
    "stopX": 0.0349999964,
    "tryCount": 20.0,
    "succeedCount": 14.0,
    "failedCount": 6.0,
    "finalPercent": 1.009633
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 120.0,
    "smaLength2": 27.0,
    "stopX": 0.015,
    "tryCount": 17.0,
    "succeedCount": 6.0,
    "failedCount": 11.0,
    "finalPercent": 1.0096997
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 108.0,
    "smaLength2": 33.0,
    "stopX": 0.0499999933,
    "tryCount": 15.0,
    "succeedCount": 8.0,
    "failedCount": 7.0,
    "finalPercent": 1.01025736
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 72.0,
    "smaLength2": 21.0,
    "stopX": 0.02,
    "tryCount": 24.0,
    "succeedCount": 14.0,
    "failedCount": 10.0,
    "finalPercent": 1.01026464
  },
  {
